"properties/province","properties/district","properties/sub_district","properties/village","properties/area_sawah","properties/product","","",""
"JAWA TIMUR","MALANG","TUMPANG","DUWET KRAJAN","0","0","","",""
"JAWA TIMUR","MALANG","TUMPANG","DUWET","0","0","","",""
"JAWA TIMUR","MALANG","TUMPANG","JERU","127.0","525.8","","",""
"JAWA TIMUR","MALANG","TUMPANG","KAMBINGAN","67.0","277.4","","",""
"JAWA TIMUR","MALANG","TUMPANG","KIDAL","62.5","258.8","","",""
"JAWA TIMUR","MALANG","TUMPANG","MALANGSUKO","63.0","260.8","","",""
"JAWA TIMUR","MALANG","TUMPANG","NGINGIT","80.5","333.3","","",""
"JAWA TIMUR","MALANG","TUMPANG","PANDANAJENG","186.0","770.0","","",""
"JAWA TIMUR","MALANG","TUMPANG","PULUNGDOWO","363.0","1,502.8","","",""
"JAWA TIMUR","MALANG","TUMPANG","SLAMET","161.0","666.5","","",""
"JAWA TIMUR","MALANG","TUMPANG","TULUSBESAR","101.0","418.1","","",""
"JAWA TIMUR","MALANG","TUMPANG","TUMPANG","139.0","575.5","","",""
"JAWA TIMUR","MALANG","TUMPANG","WRINGINSONGO","104.0","430.6","","",""
"JAWA TIMUR","MALANG","TUREN","GEDOG KULON","114.0","472.0","","",""
"JAWA TIMUR","MALANG","TUREN","GEDOG WETAN","129.0","534.1","","",""
"JAWA TIMUR","MALANG","TUREN","JERU","120.0","496.8","","",""
"JAWA TIMUR","MALANG","TUREN","KEDOK","92.0","380.9","","",""
"JAWA TIMUR","MALANG","TUREN","KEMULAN","180.0","745.2","","",""
"JAWA TIMUR","MALANG","TUREN","PAGEDANGAN","150.0","621.0","","",""
"JAWA TIMUR","MALANG","TUREN","SANANKERTO","243.0","1,006.0","","",""
"JAWA TIMUR","MALANG","TUREN","SANANREJO","147.7","611.5","","",""
"JAWA TIMUR","MALANG","TUREN","SAWAHAN","257.0","1,064.0","","",""
"JAWA TIMUR","MALANG","TUREN","SEDAYU","81.0","335.3","","",""
"JAWA TIMUR","MALANG","TUREN","TALANGSUKO","194.0","803.2","","",""
"JAWA TIMUR","MALANG","TUREN","TALOK","160.0","662.4","","",""
"JAWA TIMUR","MALANG","TUREN","TANGGUNG","123.0","509.2","","",""
"JAWA TIMUR","MALANG","TUREN","TAWANGREJENI","181.0","749.3","","",""
"JAWA TIMUR","MALANG","TUREN","TUMPUKRENTENG","145.0","600.3","","",""
"JAWA TIMUR","MALANG","TUREN","TUREN","103.0","426.4","","",""
"JAWA TIMUR","MALANG","TUREN","UNDAAN","98.7","408.6","","",""
"JAWA TIMUR","MALANG","WAGIR","DALISODO","0","0","","",""
"JAWA TIMUR","MALANG","WAGIR","GONDOWANGI","137.0","567.2","","",""
"JAWA TIMUR","MALANG","WAGIR","JEDONG","70.0","289.8","","",""
"JAWA TIMUR","MALANG","WAGIR","MENDALANWANGI","147.6","611.1","","",""
"JAWA TIMUR","MALANG","WAGIR","PANDANLANDUNG","20.0","82.8","","",""
"JAWA TIMUR","MALANG","WAGIR","PANDANREJO","125.0","517.5","","",""
"JAWA TIMUR","MALANG","WAGIR","PARANGARGO","148.0","612.7","","",""
"JAWA TIMUR","MALANG","WAGIR","PETUNGSEWU","105.0","434.7","","",""
"JAWA TIMUR","MALANG","WAGIR","SIDORAHAYU","115.0","476.1","","",""
"JAWA TIMUR","MALANG","WAGIR","SITIREJO","160.0","662.4","","",""
"JAWA TIMUR","MALANG","WAGIR","SUKODADI","24.1","99.8","","",""
"JAWA TIMUR","MALANG","WAGIR","SUMBERSUKO","75.1","310.9","","",""
"JAWA TIMUR","MALANG","WAJAK","BAMBANG","0","0","","",""
"JAWA TIMUR","MALANG","WAJAK","BLAYU","147.0","608.6","","",""
"JAWA TIMUR","MALANG","WAJAK","BRINGIN","107.0","443.0","","",""
"JAWA TIMUR","MALANG","WAJAK","CODO","199.0","823.9","","",""
"JAWA TIMUR","MALANG","WAJAK","DADAPAN","153.0","633.4","","",""
"JAWA TIMUR","MALANG","WAJAK","KIDANGBANG","167.0","691.4","","",""
"JAWA TIMUR","MALANG","WAJAK","NGEMBAL","71.0","293.9","","",""
"JAWA TIMUR","MALANG","WAJAK","PATOKPICIS","130.0","538.2","","",""
"JAWA TIMUR","MALANG","WAJAK","SUKOANYAR","117.0","484.4","","",""
"JAWA TIMUR","MALANG","WAJAK","SUKOLILO","145.0","600.3","","",""
"JAWA TIMUR","MALANG","WAJAK","SUMBERPUTIH","60.0","248.4","","",""
"JAWA TIMUR","MALANG","WAJAK","WAJAK","207.0","857.0","","",""
"JAWA TIMUR","MALANG","WAJAK","WONOAYU","0","0","","",""
"JAWA TIMUR","MALANG","WONOSARI","BANGELAN","80.0","331.2","","",""
"JAWA TIMUR","MALANG","WONOSARI","KEBOBANG","105.5","436.8","","",""
"JAWA TIMUR","MALANG","WONOSARI","KLUWUT","227.0","939.8","","",""
"JAWA TIMUR","MALANG","WONOSARI","PLANDI","593.8","2,458.3","","",""
"JAWA TIMUR","MALANG","WONOSARI","PLAOSAN","221.2","915.8","","",""
"JAWA TIMUR","MALANG","WONOSARI","SUMBERDEM","30.4","125.9","","",""
"JAWA TIMUR","MALANG","WONOSARI","SUMBERTEMPUR","6.5","26.9","","",""
"JAWA TIMUR","MALANG","WONOSARI","WONOSARI","0","0","","",""
"JAWA TIMUR","MALANG","BULULAWANG","BAKALAN","138.7","574.0","","",""
"JAWA TIMUR","MALANG","BULULAWANG","BULULAWANG","87.0","360.2","","",""
"JAWA TIMUR","MALANG","BULULAWANG","GADING","60.0","248.4","","",""
"JAWA TIMUR","MALANG","BULULAWANG","KASEMBON","168.0","695.5","","",""
"JAWA TIMUR","MALANG","BULULAWANG","KASRI","105.0","434.7","","",""
"JAWA TIMUR","MALANG","BULULAWANG","KREBET","176.0","728.6","","",""
"JAWA TIMUR","MALANG","BULULAWANG","KREBET SENGGRONG","96.5","399.5","","",""
"JAWA TIMUR","MALANG","BULULAWANG","KUWOLU","136.0","563.0","","",""
"JAWA TIMUR","MALANG","BULULAWANG","LUMBANGSARI","151.0","625.1","","",""
"JAWA TIMUR","MALANG","BULULAWANG","PRINGU","176.0","728.6","","",""
"JAWA TIMUR","MALANG","BULULAWANG","SEMPALWADAK","77.1","319.1","","",""
"JAWA TIMUR","MALANG","BULULAWANG","SUKOMORO","117.5","486.5","","",""
"JAWA TIMUR","MALANG","BULULAWANG","SUKONOLO","232.0","960.5","","",""
"JAWA TIMUR","MALANG","BULULAWANG","WANDANPURO","129.4","535.6","","",""
"JAWA TIMUR","MALANG","DONOMULYO","TULUNGREJO","295.0","1,221.3","","",""
"","","","","","","","",""
