"properties/province","properties/district","properties/sub_district","properties/village","properties/area_sawah","properties/product","","",""
"JAWA TIMUR","MALANG","GONDANGLEGI","SUKOREJO","127.0","525.8","","",""
"JAWA TIMUR","MALANG","GONDANGLEGI","SUKOSARI","155.3","643.1","","",""
"JAWA TIMUR","MALANG","GONDANGLEGI","SUMBERJAYA","120.0","496.8","","",""
"JAWA TIMUR","MALANG","GONDANGLEGI","UREK UREK","0","0","","",""
"JAWA TIMUR","MALANG","JABUNG","ARGOSARI","107.0","443.0","","",""
"JAWA TIMUR","MALANG","JABUNG","GADINGKEMBAR","129.0","534.1","","",""
"JAWA TIMUR","MALANG","JABUNG","GUNUNGJATI","0","0","","",""
"JAWA TIMUR","MALANG","JABUNG","JABUNG","44.0","182.2","","",""
"JAWA TIMUR","MALANG","JABUNG","KEMANTREN","117.0","484.4","","",""
"JAWA TIMUR","MALANG","JABUNG","KEMIRI","9.0","37.3","","",""
"JAWA TIMUR","MALANG","JABUNG","KENONGO","61.0","252.5","","",""
"JAWA TIMUR","MALANG","JABUNG","NGADIREJO","0","0","","",""
"JAWA TIMUR","MALANG","JABUNG","PANDANSARI LOR","128.0","529.9","","",""
"JAWA TIMUR","MALANG","JABUNG","SIDOMULYO","142.0","587.9","","",""
"JAWA TIMUR","MALANG","JABUNG","SIDOREJO","106.0","438.8","","",""
"JAWA TIMUR","MALANG","JABUNG","SLAMPAREJO","59.0","244.3","","",""
"JAWA TIMUR","MALANG","JABUNG","SUKOLILO","108.0","447.1","","",""
"JAWA TIMUR","MALANG","JABUNG","SUKOPURO","155.0","641.7","","",""
"JAWA TIMUR","MALANG","JABUNG","TAJI","0","0","","",""
"JAWA TIMUR","MALANG","KALIPARE","ARJOSARI","0","0","","",""
"JAWA TIMUR","MALANG","KALIPARE","ARJOWILANGUN","285.0","1,179.9","","",""
"JAWA TIMUR","MALANG","KALIPARE","KALIASRI","115.0","476.1","","",""
"JAWA TIMUR","MALANG","KALIPARE","KALIPARE","132.0","546.5","","",""
"JAWA TIMUR","MALANG","KALIPARE","KALIREJO","0","0","","",""
"JAWA TIMUR","MALANG","KALIPARE","PUTUKREJO","90.0","372.6","","",""
"JAWA TIMUR","MALANG","KALIPARE","SUKOWILANGUN","75.0","310.5","","",""
"JAWA TIMUR","MALANG","KALIPARE","SUMBERPETUNG","60.0","248.4","","",""
"JAWA TIMUR","MALANG","KALIPARE","TUMPAKREJO","80.0","331.2","","",""
"JAWA TIMUR","MALANG","KARANGPLOSO","AMPELDENTO","110.0","455.4","","",""
"JAWA TIMUR","MALANG","KARANGPLOSO","BOCEK","100.0","414.0","","",""
"JAWA TIMUR","MALANG","KARANGPLOSO","DONOWARIH","150.0","621.0","","",""
"JAWA TIMUR","MALANG","KARANGPLOSO","GIRIMOYO","25.0","103.5","","",""
"JAWA TIMUR","MALANG","KARANGPLOSO","KEPUHHARJO","115.0","476.1","","",""
"JAWA TIMUR","MALANG","KARANGPLOSO","NGENEP","180.0","745.2","","",""
"JAWA TIMUR","MALANG","KARANGPLOSO","NGIJO","140.0","579.6","","",""
"JAWA TIMUR","MALANG","KARANGPLOSO","TAWANGARGO","180.0","745.2","","",""
"JAWA TIMUR","MALANG","KARANGPLOSO","TEGALGONDO","133.0","550.6","","",""
"JAWA TIMUR","MALANG","KASEMBON","BAYEM","106.5","440.9","","",""
"JAWA TIMUR","MALANG","KASEMBON","KASEMBON","110.5","457.5","","",""
"JAWA TIMUR","MALANG","KASEMBON","PAIT","164.0","679.0","","",""
"JAWA TIMUR","MALANG","KASEMBON","PONDOKAGUNG","27.0","111.8","","",""
"JAWA TIMUR","MALANG","KASEMBON","SUKOSARI","220.0","910.8","","",""
"JAWA TIMUR","MALANG","KASEMBON","WONOAGUNG","79.0","327.1","","",""
"JAWA TIMUR","MALANG","KEPANJEN","ARDIREJO","73.0","302.2","","",""
"JAWA TIMUR","MALANG","KEPANJEN","CEPOKOMULYO","25.0","103.5","","",""
"JAWA TIMUR","MALANG","KEPANJEN","CURUNGREJO","145.0","600.3","","",""
"JAWA TIMUR","MALANG","KEPANJEN","DILEM","67.0","277.4","","",""
"JAWA TIMUR","MALANG","KEPANJEN","JATIREJOYOSO","256.0","1,059.8","","",""
"JAWA TIMUR","MALANG","KEPANJEN","JENGGOLO","215.0","890.1","","",""
"JAWA TIMUR","MALANG","KEPANJEN","KEDUNGPEDARINGAN","75.0","310.5","","",""
"JAWA TIMUR","MALANG","KEPANJEN","KEMIRI","136.0","563.0","","",""
"JAWA TIMUR","MALANG","KEPANJEN","KEPANJEN","39.0","161.5","","",""
"JAWA TIMUR","MALANG","KEPANJEN","MANGUNREJO","218.0","902.5","","",""
"JAWA TIMUR","MALANG","KEPANJEN","MOJOSARI","122.0","505.1","","",""
"JAWA TIMUR","MALANG","KEPANJEN","NGADILANGKUNG","101.0","418.1","","",""
"JAWA TIMUR","MALANG","KEPANJEN","PANARUKAN","98.0","405.7","","",""
"JAWA TIMUR","MALANG","KEPANJEN","PANGGUNGREJO","135.0","558.9","","",""
"JAWA TIMUR","MALANG","KEPANJEN","SENGGURUH","60.0","248.4","","",""
"JAWA TIMUR","MALANG","KEPANJEN","SUKORAHARJO","150.0","621.0","","",""
"JAWA TIMUR","MALANG","KEPANJEN","TEGALSARI","163.0","674.8","","",""
"JAWA TIMUR","MALANG","KEPANJEN","TALANGAGUNG","75.0","310.5","","",""
"JAWA TIMUR","MALANG","KROMENGAN","JAMBUWER","311.9","1,291.3","","",""
"JAWA TIMUR","MALANG","KROMENGAN","JATIKERTO","333.0","1,378.6","","",""
"JAWA TIMUR","MALANG","KROMENGAN","KARANGREJO","234.4","970.4","","",""
"JAWA TIMUR","MALANG","KROMENGAN","KROMENGAN","491.0","2,032.9","","",""
"JAWA TIMUR","MALANG","KROMENGAN","NGADIREJO","179.0","741.1","","",""
"JAWA TIMUR","MALANG","KROMENGAN","PENIWEN","233.1","964.9","","",""
"JAWA TIMUR","MALANG","KROMENGAN","SLOROK","178.0","736.9","","",""
"JAWA TIMUR","MALANG","LAWANG","BEDALI","75.0","310.5","","",""
"JAWA TIMUR","MALANG","LAWANG","KALIREJO","76.0","314.6","","",""
"JAWA TIMUR","MALANG","LAWANG","KETINDAN","20.0","82.8","","",""
"JAWA TIMUR","MALANG","LAWANG","LAWANG","0","0","","",""
"JAWA TIMUR","MALANG","LAWANG","MULYOARJO","98.0","405.7","","",""
"JAWA TIMUR","MALANG","LAWANG","SIDODADI","74.0","306.4","","",""
"JAWA TIMUR","MALANG","LAWANG","SIDOLUHUR","53.0","219.4","","",""
